金沙寺	115.984784481	29.619954082
八仙庵	116.02351322	29.60957826
大雄庵	116.033904501	29.613182536
北苑庵	116.038126561	29.604370697
黄龙庵	115.933496236	29.530084114
观音阁	116.009726177	29.513751829
白鹤观	116.019474954	29.516144768
白鹿洞书院园门管理所	116.035004831	29.526540748
太平寺	116.008912411	29.528054634
慈航寺	116.007122227	29.51495409
海会寺	116.029328206	29.538374041
西林塔	115.939184724	29.602392214
西林寺	115.939536509	29.601092925
东林寺	115.943869111	29.601671031
铁佛寺	115.97855119	29.603568832
定慧寺	115.995216711	29.623564808
莲花禅院	115.991773177	29.617537608
报恩寺	115.989594593	29.619665862
喇嘛塔	115.986657019	29.584987105
化成寺	115.95291191	29.585643613
登云寺	116.042342139	29.588589147
中庵寺	116.018307152	29.58879857
中庵庙	116.019716055	29.591496811
福海寺	115.931296094	29.566460321
贝云庵	115.926437064	29.542236812
园佛殿	115.951248869	29.563150449
老君殿	115.957620717	29.565718815
观妙亭	115.956978176	29.567095322
文殊台	115.94988701	29.560390712
文殊寺	115.941129468	29.560092645
玄妙观	115.957309596	29.545886599
修静庵	115.994225398	29.582700224
斋婆庵	115.918755424	29.501653891
报国寺	115.900959425	29.531875448
黄泥庵	115.893313297	29.521001543
观音阁	116.043750744	29.547134387
修静庵	116.000580263	29.582552517
星庵	116.051641934	29.577435045
观音桥	116.008071753	29.514996694
翠竹山庄	115.972874704	29.619768298
聪明泉	115.941796891	29.602378286
观景平台	115.960707328	29.568873694
大天池	115.949540663	29.562421329
陶渊明纪念馆	115.893140728	29.61260801
太平宫宫前	115.963263844	29.613858338
太平宫	115.96490287	29.613035166
忆琴亭	115.963090231	29.567612216
蓬花台	115.93763106	29.542554664
望鄱台	115.984439917	29.546732283
毛泽东诗词碑园	115.967566641	29.555317613
小天池	115.983396819	29.577060371
御碑亭	115.95531184	29.565097845
浴仙亭	116.006259146	29.516365385
望鄱亭	115.982809363	29.546763239
万象亭	115.98228864	29.573840442
静观亭	115.942149084	29.550711719
花径亭	115.961205113	29.567017671
含鄱亭	115.981039744	29.546429509
赐经亭	115.962734303	29.554736147
栖贤寺	116.000037873	29.51980177
青莲寺	116.003484897	29.555918985
木瓜寺	116.013121316	29.539532512
毛家垄	115.890326514	29.588206976
易家垄	115.897808004	29.621889161
刘家垄	115.932424022	29.620400005
老虎岩	115.935023879	29.586256148
周家垄	115.898069346	29.587101883
曹家垄	115.887928862	29.583745503
从树垄	115.96079829	29.594466251
月丐堑	115.98270661	29.589498683
涂家垄	115.94556403	29.623493059
熊家垄	116.059454551	29.584085736
孙家垄	116.048685673	29.588541635
徐家垄	116.059862234	29.6139632
鸦雀垄	116.050490012	29.611918521
寺垄	116.040556603	29.598029905
杨家垄	115.881368294	29.561490626
土家垄	115.881905613	29.556674309
土桥垄	115.882257276	29.54786741
尖山垄	115.893870518	29.544210722
月轮峰	115.983082286	29.552497793
太乙峰	115.975365411	29.546096007
日照峰	115.98624483	29.573446905
朱家岩	115.917470377	29.538730475
马耳峰	115.922279979	29.517535534
半云峰	115.903921057	29.522141891
石耳峰	115.907444677	29.514659691
庐山垄	115.926594558	29.500968428
汉阳峰	115.954370886	29.500782328
大垄	115.993911401	29.521950768
红石崖	115.98419105	29.522510421
项家垄	115.995886547	29.512818952
小汉阳峰	115.956793049	29.507772869
九奇峰	115.967509563	29.539228576
狮子岩	116.014337658	29.548042122
樟树垄	116.000874913	29.529128557
豹子岩	116.016054464	29.536704314
大垄	116.038266338	29.529975386
石家垄	116.045249996	29.534631773
五老峰	116.017691927	29.551066191
五老峰	116.013025397	29.550688736
白马岭	115.936479841	29.623113237
白马岭	115.937262106	29.622182353
枫树坡	115.965397338	29.621627547
陈家岭	115.979316883	29.610338523
东林大峡谷	115.967082068	29.596724093
边山岭	115.945900156	29.589930789
城墙山	115.989891235	29.624557286
大华山	116.01049108	29.612284012
大寨山	116.010233123	29.606496468
陈家山	115.877271049	29.5763077
杜家山	115.925599918	29.558551463
东谷	115.978428544	29.565599547
程家山	115.901810764	29.537934604
斗笠坡	115.899704763	29.516315596
大败岭	116.05114158	29.52666849
大背山	116.017703927	29.621705483
道洼尖山	115.931648163	29.546106378
郭家山	115.933833096	29.589299633
傅家山	116.048752153	29.619467098
高家岭	115.993654763	29.508172045
傅家垄	116.059375749	29.617116117
好汉坡	115.98434442	29.594539325
好汉坡	115.982985279	29.581444055
花园岭	115.918185757	29.587165315
火石岭	115.914671445	29.596234351
黄坡岭	115.885187798	29.567684224
剪刀峡	115.979275143	29.579456768
虎背岭	115.97237691	29.576183383
黄家山	115.882824564	29.533820502
黄照岭	115.992649689	29.529544513
老虎山	115.912752647	29.551226362
连峰山	116.045015014	29.594677082
李家山	115.904862569	29.556783437
庐山	115.985604788	29.570140243
罗家岭	115.950774232	29.60852943
罗家山	116.046698485	29.604994224
罗山	116.031197657	29.60756307
毛头岭	116.052866756	29.607526833
彭家岭	115.979346689	29.622391666
破山	116.040741154	29.613941587
坪岭	116.046134728	29.623415644
牛头山	115.948951208	29.531727219
彭家山	116.058388597	29.578140573
乔麦山	115.964343669	29.59440917
栖贤大峡谷	116.00695594	29.517074226
蛇头岭	115.972216006	29.624686676
石板岭	115.949692968	29.604152843
石背山	116.055852637	29.609257208
石排山	116.024734577	29.601477878
石牛山	116.054214359	29.550796464
涂家岭	115.960548064	29.607252452
天岗岭	115.980847139	29.623627139
陶家山	115.989643857	29.502884162
桃花垅	116.055164195	29.544048731
土坝岭	115.968382954	29.576237839
王家坡	116.014297766	29.602569879
